;Aero Commander Aircraft;S-2 Ag Commander;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;SS2P;L;tbd;tbd;tbd;#VALORE!
2017-Sep-18;Aero Spacelines;B-377-SG/SGT Super Guppy;Turboprop;4;C;IV;tbd;130;no winglets;156.25;143.83;48.50;tbd;tbd;tbd;170,000;same as MTOW?;D;SGUP;L;tbd;tbd;tbd;22,474
2018-Jan-10;Aero Vodochody;Aero 45, Aero 145;Piston;2;A;I;1B;78;no winglets;46.21;25.50;7.50;tbd;tbd;tbd;3,527;same as MTOW?;S;AE45;L;tbd;tbd;tbd;1,178
;Aero Vodochody;Aero Ae-270 Ibis;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;A270;L;tbd;tbd;tbd;#VALORE!
;Aero Vodochody;Aero L-159 Albatros 2;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;L159;M;tbd;tbd;tbd;#VALORE!
2018-Jan-10;Aero Vodochody;Aero L-159 Alca (L-159A);Jet;1;C;I;1B;130;tip tanks;31.29;41.73;16.00;tbd;tbd;tbd;17,637;same as MTOW?;S;L159;M;tbd;tbd;tbd;1,306
2018-Jan-10;Aero Vodochody;Aero L-29 Delfin;Jet;1;B;I;1B;92;tip tanks;33.75;35.46;10.25;tbd;tbd;tbd;7,804;same as MTOW?;S;L29;L;tbd;tbd;tbd;1,197
2018-Jan-10;Aero Vodochody;Aero L-39 Albatros (L-39C);Jet;1;B;I;1B;109;tip tanks;31.04;39.79;15.65;tbd;tbd;tbd;10,362;same as MTOW?;S;L39;L;tbd;tbd;tbd;1,235
2018-Jan-10;Aero Vodochody;Aero L-59 Super Albatros (L-59E);Jet;1;C;I;1B;130;tip tanks;31.29;40.02;15.65;tbd;tbd;tbd;15,432;same as MTOW?;S;L59;L;tbd;tbd;tbd;1,252
2018-Jan-10;Aero Vodochody;Aero L-60 Brigadyr;Piston;1;A;I;1B;36;no winglets;45.79;28.00;8.92;tbd;tbd;tbd;3,439;same as MTOW?;S;L60;L;tbd;tbd;tbd;1,282
;Aero Vodochody;S-102;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;MG15;L;tbd;tbd;tbd;#VALORE!
;Aero Vodochody;S-103;tbd;tbd;No Value;No Value;tbd;;tbd;;tbd;tbd;tbd;tbd;tbd;tbd;tbd;tbd;MG15;L;tbd;tbd;tbd;#VALORE!
2018-Jan-10;Aeromere;F8L Falco (Laberda Super Falco Series IV);Piston;1;A;I;1A;69;no winglets;26.25;21.33;7.50;tbd;tbd;tbd;1,808;1,808;S;tbd;tbd;tbd;tbd;tbd;560
2018-May-29;Aeronca;11 Chief;Piston;1;A;I;1A;49;no winglets;36.00;20.83;6.83;tbd;tbd;tbd;1,250;1,250;S;AR11;L;Small Eqpt;tbd;tbd;750
2018-May-29;Aeronca;15 Sedan;Piston;1;A;I;1A;60;no winglets;37.50;25.25;10.33;tbd;tbd;tbd;2,050;2,050;S;AR15;L;Small Eqpt;tbd;tbd;947
2018-Feb-22;Aeronca;"7AC Champion (""Champ"")";Piston;1;A;I;1A;43;no winglets;35.00;21.50;7.00;tbd;tbd;tbd;1,320;1,320;S;CH7A;L;Small Eqpt;tbd;tbd;753
2018-Feb-22;Aeronca;7EC Traveler;Piston;1;A;I;1A;43;no winglets;35.00;21.50;7.00;tbd;tbd;tbd;1,450;1,450;S;tbd;tbd;Small Eqpt;tbd;tbd;753
2018-Apr-11;Aeroprogress Inc.;T-411 Wolverine;Piston;1;A;I;1A;46;no winglets;41.33;30.71;8.50;tbd;tbd;tbd;4,400;same as MTOW?;S;tbd;L;tbd;tbd;tbd;1,269
2017-Sep-18;Aerospatiale;Nord 262A;Jet;2;A;II;tbd;90;no winglets;71.83;63.25;20.33;tbd;tbd;tbd;22,710;same as MTOW?;S;N262;tbd;tbd;tbd;tbd;4,543
